Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Cleaning surfaces (product.metafields.shopify.cleaning-surfaces),Color (product.metafields.shopify.color-pattern),Dispenser type (product.metafields.shopify.dispenser-type),Fabric (product.metafields.shopify.fabric),Item style (product.metafields.shopify.item-style),Neckline (product.metafields.shopify.neckline),Personalization design (product.metafields.shopify.personalization-design),Size (product.metafields.shopify.size),Theme (product.metafields.shopify.theme),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
baby-you-are-my-firework-gift-matchbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Inside_the_box_06d2a6f5-0e4b-45f2-b2df-f28f2ef889c1.png?v=1760538839,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baby-you-re-my-firework,Baby You’re My Firework Postcard,"<p><span>This is a revival of vintage Indian matchbox art that once lit up festival nights, Now reimagined as a keepsake for those who shine brightest in your sky.</span></p>
<p><!-- Accordion Sections --></p>
<div class=""product-accordion"">
<details open="""">
<summary><strong>Materials</strong></summary>
<ul>
<li>Textured Paper</li>
<li>RSW 270 GSM</li>
</ul>
</details>
<details open="""">
<summary><strong>Specifications</strong></summary>
<ul>
<li>Size: 5.5 x 4 inches</li>
</ul>
</details>
<details open="""">
<summary><strong>Shipping</strong></summary>
<ul>
<li>Domestic delivery: 4–5 days after dispatch</li>
<li>International delivery: 15–20 days</li>
</ul>
</details>
</div>",Maachis,Office Supplies > General Office Supplies > Paper Products > Post Cards,"","",true,Title,Default Title,,,,,,,,,0.0,,-1,deny,manual,250.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Babyyou_remyfirework.png?v=1759926906,1,"",false,,,3871,,,,,,,,,,,,,multicolor,,,retro-vintage; colorful; novelty,,printed,,art,,g,,,active
big-dawgs,Big Dawgs,"<p><meta charset=""utf-8"">Spirit of rebellion, breaking chains&amp;nbsp;with rhythm and rhyme. Hanumankind from the streets to the world stage with Big Dawgs.<br></p>
<p><meta charset=""utf-8""><strong data-end=""528"" data-start=""515"">Design by</strong> <a href=""https://www.instagram.com/deeyasart"" class="""" data-end=""578"" data-start=""529"">@deeyasart</a></p>
<!-- Accordion Sections -->
<div class=""product-accordion"">

<details>
<summary><strong>Materials</strong></summary>
<ul>
<li>Ivory-finished wood</li>
<li>Safety matches</li>
<li>Striking surface</li>
</ul>
</details>
<details>
<summary><strong>Specifications</strong></summary>
<ul>
<li>Dual magnetic closures on both sides</li>
<li>Dimensions: 68mm × 48mm × 22mm</li>
<li>Includes one spare striker sheet</li>
</ul>
</details>
<details>
<summary><strong>Shipping</strong></summary>
<ul>
<li>Domestic delivery: 4–5 days after dispatch</li>
<li>International delivery: 15–20 days</li>
</ul>
<p><strong>Note for international orders:</strong> We can’t ship flammable materials across borders, so matchsticks won’t be included. You can refill with any regular-size matchsticks found at most local stores.</p>
</details>
<details>
<summary><strong>Care &amp; Safety</strong></summary>
<ul>
<li>Store at room temperature (20–25°C) - wood expands and contracts with humidity</li>
<li>Refill with any regular-size matchsticks once used up</li>
<li>Replace striker sheet when worn - peel and paste to reuse<br>
</li>
<li>Burn within sight. Keep away from combustibles, children, and pets</li>
</ul>
</details>
</div>",Maachis,Home & Garden > Smoking Accessories,Matchboxes,"Handmade, Indian Matchboxes, Maachis, Vintage",true,Title,Default Title,,,,,,,,"",33.0,,16,deny,manual,799.00,999.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0852/6096/0021/files/BIG_DAWGS_-_Front.png?v=1759233541,1,"",false,,,,,,,,,,,,,,,,red; black,,,,,,,,,g,,,active
big-dawgs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/BIG_DAWGS_-_Back.png?v=1759233541,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
big-dawgs-1,Big Dawgs Postcard,"<p>Spirit of rebellion, breaking chains&amp;nbsp;with rhythm and rhyme. Hanumankind from the streets to the world stage with Big Dawgs.</p>
<p><!-- Accordion Sections --></p>
<div class=""product-accordion"">
<details open="""">
<summary><strong>Materials</strong></summary>
<ul>
<li>Textured Paper</li>
<li>RSW 270 GSM</li>
</ul>
</details>
<details open="""">
<summary><strong>Specifications</strong></summary>
<ul>
<li>Size: 5.5 x 4 inches</li>
</ul>
</details>
<details open="""">
<summary><strong>Shipping</strong></summary>
<ul>
<li>Domestic delivery: 4–5 days after dispatch</li>
<li>International delivery: 15–20 days</li>
</ul>
</details>
</div>",Maachis,Office Supplies > General Office Supplies > Paper Products > Post Cards,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,250.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/big_dawg.jpg?v=1761755352,1,"",false,,,3871,,,,,,,,,,,,,multicolor,,,retro-vintage; colorful; novelty,,printed,,art,,g,,,active
big-dawgs-tshirt,Big Dawgs Tee,"<p class="""" data-end=""212"" data-start=""85""><strong data-end=""212"" data-start=""85"">Spirit of rebellion, breaking chains with rhythm and rhyme. Hanumankind from the streets to the world stage with Big Dawgs.</strong></p>
<p><span>Designed by <a href=""https://www.instagram.com/deeyasart/"" rel=""noopener"" target=""_blank"">@deeyasart</a></span></p>
<p><span><meta charset=""utf-8"">
<strong><strong data-start=""214"" data-end=""226"">Product Details:</strong><br data-start=""226"" data-end=""229""></strong>– Unisex oversized fit<br data-start=""251"" data-end=""254"">– 240 GSM<br data-start=""263"" data-end=""266"">– 100% cotton<br data-start=""279"" data-end=""282"" data-is-only-node="""">– Front brand patch &amp; back DTG print</span></p>",Maachis,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,"","",true,Color,black,product.metafields.shopify.color-pattern,Size,s,product.metafields.shopify.size,,,,"",200.0,shopify,0,deny,manual,1799.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Big-dawgs-back-print.png?v=1745558969,1,"",false,,,,,,,,,,,,,,,,black,,,,,,s; m; l,,,g,,,active
big-dawgs-tshirt,,,,,,,,,black,,,m,,,,,"",200.0,shopify,0,deny,manual,1799.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0852/6096/0021/files/11_d95fb39b-a93a-4db4-9b0b-8f6e6cd6cfcd.png?v=1745558969,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
big-dawgs-tshirt,,,,,,,,,black,,,l,,,,,"",200.0,shopify,1,deny,manual,1799.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Big-dawgs-front-patch.png?v=1745558969,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
big-dawgs-tshirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Size-chart-website.png?v=1745558969,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bismillah-matchbox,Bismillah,"<p><meta charset=""utf-8"">Strings pull and heart wraps in Memory Box, a pool of emotions. Bismillah dances between desire and denial.<br></p>
<p><meta charset=""utf-8""><strong data-start=""515"" data-end=""528"">Design by</strong> <a data-start=""529"" data-end=""578"" class="""" href=""https://www.instagram.com/deeyasart"">@deeyasart</a></p>
<!-- Accordion Sections -->
<div class=""product-accordion"">

<details>
<summary><strong>Materials</strong></summary>
<ul>
<li>Ivory-finished wood</li>
<li>Safety matches</li>
<li>Striking surface</li>
</ul>
</details>
<details open="""">
<summary><strong>Specifications</strong></summary>
<ul>
<li>Dual magnetic closures on both sides</li>
<li>Dimensions: 68mm × 48mm × 22mm</li>
<li>Includes two spare striker sheet</li>
</ul>
</details>
<details>
<summary><strong>Shipping</strong></summary>
<ul>
<li>Domestic delivery: 4–5 days after dispatch</li>
<li>International delivery: 15–20 days</li>
</ul>
<p><strong>Note for international orders:</strong> We can’t ship flammable materials across borders, so matchsticks won’t be included. You can refill with any regular-size matchsticks found at most local stores.</p>
</details>
<details>
<summary><strong>Care &amp; Safety</strong></summary>
<ul>
<li>Store at room temperature (20–25°C) - wood expands and contracts with humidity</li>
<li>Refill with any regular-size matchsticks once used up</li>
<li>Replace striker sheet when worn - peel and paste to reuse<br>
</li>
<li>Burn within sight. Keep away from combustibles, children, and pets</li>
</ul>
</details>
</div>",Maachis,Home & Garden > Smoking Accessories,Matchboxes,"Handmade, Indian Matchboxes, Maachis, Vintage",true,Title,Default Title,,,,,,,,"",33.0,,0,deny,manual,799.00,999.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Front_a86e52b4-0aa3-43f8-a1c2-8cdb22361b7d.png?v=1759232720,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
bismillah-matchbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/back_9a9b5654-072c-4924-bde0-90898001a23f.png?v=1759232720,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bismillah,Bismillah Postcard,"<p>Strings pull and heart wraps in Memory Box, a pool of emotions. Bismillah dances between desire and denial.</p>
<p><!-- Accordion Sections --></p>
<div class=""product-accordion"">
<details open="""">
<summary><strong>Materials</strong></summary>
<ul>
<li>Textured Paper</li>
<li>RSW 270 GSM</li>
</ul>
</details>
<details open="""">
<summary><strong>Specifications</strong></summary>
<ul>
<li>Size: 5.5 x 4 inches</li>
</ul>
</details>
<details open="""">
<summary><strong>Shipping</strong></summary>
<ul>
<li>Domestic delivery: 4–5 days after dispatch</li>
<li>International delivery: 15–20 days</li>
</ul>
</details>
</div>",Maachis,Office Supplies > General Office Supplies > Paper Products > Post Cards,"","",true,Title,Default Title,,,,,,,,,0.0,,-1,deny,manual,250.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/5.jpg?v=1759916984,1,"",false,,,3871,,,,,,,,,,,,,multicolor,,,retro-vintage; colorful; novelty,,printed,,art,,g,,,active
bismillah-tshirt,Bismillah Tee,"<p><meta charset=""utf-8""><strong>Strings pull and heart wraps in Memory Box, a pool of emotions. Bismillah dances between desire and denial.</strong></p>
<p><span>Designed by <a href=""https://www.instagram.com/deeyasart/"" rel=""noopener"" target=""_blank"">@deeyasart</a></span></p>
<p><span><meta charset=""utf-8"">
<strong><strong data-start=""214"" data-end=""226"">Product Details:</strong><br data-start=""226"" data-end=""229""></strong>– Unisex oversized fit<br data-start=""251"" data-end=""254"">– 240 GSM<br data-start=""263"" data-end=""266"">– 100% cotton<br data-start=""279"" data-end=""282"" data-is-only-node="""">– Front brand patch &amp; back DTG print</span></p>",Maachis,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,Tshirts,"Indian Matchboxes, Maachis, Vintage",true,Color,black,product.metafields.shopify.color-pattern,Size,xs,product.metafields.shopify.size,,,,"",300.0,shopify,0,deny,manual,1799.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0852/6096/0021/files/6_c0d3f7e4-a542-4a43-95c9-205e3a93ca3f.png?v=1745414670,1,"",false,,,,,,,,,,,,,,,,black,,,,,,xs; s; m; l; xl,,,g,,,active
bismillah-tshirt,,,,,,,,,black,,,s,,,,,"",300.0,shopify,0,deny,manual,1799.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0852/6096/0021/files/7_a719e51e-5de8-48d7-bb9a-25778c0baeb4.png?v=1745414670,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
bismillah-tshirt,,,,,,,,,black,,,m,,,,,"",300.0,shopify,0,deny,manual,1799.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0852/6096/0021/files/8_a8aa0210-e481-417c-adcd-78c57cbe0f3e.png?v=1745414670,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
bismillah-tshirt,,,,,,,,,black,,,l,,,,,"",300.0,shopify,7,deny,manual,1799.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Size-chart-website.png?v=1745558969,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
bismillah-tshirt,,,,,,,,,black,,,xl,,,,,"",300.0,shopify,0,deny,manual,1799.00,,true,false,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
bullet-rani,Bullet Rani,"<p>In a world that tells you to sit pillion, this matchbox hands you the handlebars.<br>Take control, you run the world!</p>

<!-- Accordion Sections -->
<div class=""product-accordion"">

<details>
<summary><strong>Materials</strong></summary>
<ul>
<li>Ivory-finished wood</li>
<li>Safety matches</li>
<li>Striking surface</li>
</ul>
</details>
<details>
<summary><strong>Specifications</strong></summary>
<ul>
<li>Dual magnetic closures on both sides</li>
<li>Dimensions: 68mm × 48mm × 22mm</li>
<li>Includes two spare striker sheet</li>
</ul>
</details>
<details>
<summary><strong>Shipping</strong></summary>
<ul>
<li>Domestic delivery: 4–5 days after dispatch</li>
<li>International delivery: 15–20 days</li>
</ul>
<p><strong>Note for international orders:</strong> We can’t ship flammable materials across borders, so matchsticks won’t be included. You can refill with any regular-size matchsticks found at most local stores.</p>
</details>
<details>
<summary><strong>Care &amp; Safety</strong></summary>
<ul>
<li>Store at room temperature (20–25°C) - wood expands and contracts with humidity</li>
<li>Refill with any regular-size matchsticks once used up</li>
<li>Replace striker sheet when worn - peel and paste to reuse<br>
</li>
<li>Burn within sight. Keep away from combustibles, children, and pets</li>
</ul>
</details>
</div>
",Maachis,Home & Garden > Household Supplies,"","Handmade, Indian Matchboxes, Maachis, Vintage",true,Title,Default Title,,,,,,,,,33.0,shopify,-15,continue,manual,999.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Bullet_Rani.png?v=1759232223,1,"",false,,,,,,,,,,,,,,,,beige; red,,,,,,,,,g,,,active
bullet-rani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Back_8b6c75a7-3a3f-4b6e-adb2-c7b2c86792cd.png?v=1759232223,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bullet-rani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Side_9204a0fe-1a87-4727-afca-03d657e09c67.png?v=1759232223,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bullet-rani-1,Bullet Rani Postcard,"<p>In a world that tells you to sit pillion, this matchbox hands you the handlebars.<br>Take control, you run the world!</p>
<p><!-- Accordion Sections --></p>
<div class=""product-accordion"">
<details>
<summary><strong>Materials</strong></summary>
<ul>
<li>Textured Paper</li>
<li>RSW 270 GSM</li>
</ul>
</details>
<details open="""">
<summary><strong>Specifications</strong></summary>
<ul>
<li>Size: 5.5 x 4 inches</li>
</ul>
</details>
<details open="""">
<summary><strong>Shipping</strong></summary>
<ul>
<li>Domestic delivery: 4–5 days after dispatch</li>
<li>International delivery: 15–20 days</li>
</ul>
</details>
</div>",Maachis,Office Supplies > General Office Supplies > Paper Products > Post Cards,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,250.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/8.jpg?v=1759916984,1,"",false,,,3871,,,,,,,,,,,,,multicolor,,,retro-vintage; colorful; novelty,,printed,,art,,g,,,active
festivepostcards,Festive Postcards - Set of 4,"<p data-end=""251"" data-start=""28""><meta charset=""utf-8"">This <strong data-start=""71"" data-end=""101"">set of 4 festive postcards</strong> (size: <strong data-start=""109"" data-end=""127"">5.5 x 4 inches</strong>) is printed on <strong data-start=""143"" data-end=""168"">270gsm textured paper</strong></p>
<p>Each postcard features a unique, vibrant design -</p>
<p><i>Anti Nazar, Patakha Guddi, Baby you're my firework, Three ekka</i><i></i></p>",Maachis,Office Supplies > General Office Supplies > Paper Products > Post Cards,"","",true,Title,Default Title,,,,,,,,,0.0,,-3,deny,manual,1000.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/AntiNazarFront.png?v=1759926906,1,"",false,,,3871,,,,,,,,,,,,,,,,retro-vintage; colorful; novelty,,printed,,,,g,,,active
festivepostcards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Patakhaguddi.png?v=1759926906,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
festivepostcards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Babyyou_remyfirework.png?v=1759926906,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
festivepostcards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0852/6096/0021/files/Threeekka.png?v=1759926906,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
